ID,Gain,Loss
4678352,"Thompson, 9",
4678352,,9 S.W.3d at 814
5740066,,43 AD3d 467
5740066,"Chase, 43",
5970983,"Holmes, 181",
5970983,,181 AD2d 27
2663630,"Thompson, 224",
2663630,,224 F.R.D. 236
2496102,"Thompson, 501",
2496102,,501 U.S. 722
2813797,"Thompson, 99",
2813797,,99 AD3d 819
3018014,"Thompson, 60",
3018014,,60 F.3d 514
1145042,"Thompson, 25",
1145042,,25 Or. App. 511
4393773,,264 Neb. 831
4393773,"Thompson, 264",
2737168,,141 Ill. 2d at 242
2737168,,141 Ill. 2d 204
2737168," Holmes, 141",
6596585,,Beckwith
6596585,,18 W. Va. 103
6596585,"Thompson, 18",
6596585,,18 W. Va. 135
6849206,"Chase, 174",
6849206,,174 Wash. 363
