ID,Gain,Loss
4746031,605 Wn.2d 262,
4746031,,128 Wn.2d 262
4759430,,151 Wn. App. 818
4759430,,Mike M. Johnson
5329531,,German Savings Bank
5661007,,248 P.2d 52
5681753,828 AD3d 883,
5681753,,5 AD3d 883
6040243,,153 Misc 2d 600
6185261,,140 F. Supp. 260
1917661,,Vanner
1662392,,Belton
1783747,,Parish of East Baton Rouge
1537257,,St. Cloud
1717506,,Blue Bell
2357843,,State ex rel. Utility Consumers Council
2414924,,City of Boerne
2414924,Boerne at 2170,
2414924,,City of Boerne at 2170
2410732,,Williams
1431414,,Memphis Development Foundation
2925642,,Buckner
2330285,,Terry
203607,,Fustaguio do Nascimento
7124861,,Hocker
1433305,,Grayson
2411681,,Sumner I
901384,, Setliff I
901384,,Setliff I
2208164,Rogers,
1440932,,San Giovanni
6596585,Beckwith,
6776333,,Susser
7493362,161 So.2d 580,
7493362,,218 So.2d 580
