ID,Gain,Loss
1917661,,581 So.2d at 1030
1917661,,589 So.2d at 519
1917661,,669 So.2d at 464
755368,,178 USPQ at 163
1783747,,182 So.2d at 705
1783747,,346 So.2d at 364
1783747,,123 So.2d at 427
1783747,,291 So.2d at 714
1783747,,511 So.2d at 883
1137818,,312 So.2d at 502
1814863,,260 So.2d at 632
1814863,,316 So.2d at 734
2357843,,127 So.2d at 421
280035,,362 F. 2d at 546
280035,,314 F. 2d at 601
1964781,,806 F. 2d at 1160
1964781,,858 P. 2d at 580
1964781,,858 P. 2d at 576
1964781,,858 P. 2d at 595
1964781,,858 P. 2d at 579
429215,,19 L.Ed. at 959
1562899,,749 So.2d at 498
7608671,,496 So.2d at 1348
7493362,,260 So.2d at 671
7521989,,182 So.2d at 424
7521989,,350 So.2d at 797
7740423,,589 So.2d at 210
