ID,Gain,Loss
4639543,,___ N.W.2d ___
4709603,,___ N.W.2d ___
2975709,,___ F.3d ___
4044496,,___ S.W.2d ___
4044496,,___ S.W.3d ___
6322259,,___ N.W.2d ___
1662392,,___ U.S. ___
1950193,,___ U.S. ___
1595372,,___ U.S. ___
2357843,,___ U.S. ___
2414924,521 U.S. at ___,
2414924,,___ U.S. ___
2829354,,___ S.W.3d ___
2829354,,____ S.W.3d ___
3007570,,__ P.3d __
617922,,___ F.Supp.2d ___
2267203,,___ U.S. ___
2267203,,___ U.S. ____
3356939,,— Charlton —
3324308,,___ A.2d ___
4349266,,__ P.3d __
4184331,,___ N.W.2d ___
4295146,,___ NW2d ___
4393773,,___ N.W.2d ___
4084041,,___ AD3d ___
1266504,,___ N.C.App. ___
1274883,,___ S.C. ___
