ID,Gain,Loss
4622083,79 S. Ct. 104,
4622083,,66 S. Ct. 250 (1946)
4622083,,79 S. Ct. 104 (1958)
4622083,,87 S. Ct. 1065 (1967)
4622083,66 S. Ct. 250,
4622083,87 S. Ct. 1065,
2975709,,127 S.Ct. 1586 (2007)
2975709,127 S.Ct. 1586,
1281555,,78 S.Ct. 199 (1957)
1281555,78 S.Ct. 1228,
1281555,,105 S.Ct. 2174 (1985)
1281555,104 S.Ct. 1473,
1281555,,104 S.Ct. 1473 (1984)
1281555,105 S.Ct. 2174,
1281555,78 S.Ct. 199,
1281555,,78 S.Ct. 1228 (1958)
1281555,,97 S.Ct. 2569 (1977)
1281555,97 S.Ct. 2569,
2718679,131 S. Ct. 1679,
2718679,,131 S. Ct. 1679 (2011)
2994815,120 S. Ct. 2348,
2994815,121 S. Ct. 336,
2994815,,120 S. Ct. 2348 (2000)
2994815,,121 S. Ct. 336 (2000)
3144103,,104 S. Ct. 2052 (1984)
3144103,104 S. Ct. 2052,
4092957,135 S. Ct. 158,
4092957,136 S. Ct. 2243,
4092957,,136 S. Ct. 2243 (2016)
4092957,,135 S. Ct. 158 (2014)
219355,,131 S. Ct. 1866 (2011)
219355,131 S. Ct. 1866,
1399292,,274 S.C. 272 (1980)
1399292,274 S.C. 272,
1274883,,309 S.C. 129 (1992)
1274883,309 S.C. 129,
6849206,100 S. Ct. 1156,
6849206,,100 S. Ct. 452 (1979)
6849206,100 S. Ct. 452,
6849206,,100 S. Ct. 1156 (1980)
